WORD_SLOT1	WORD_SLOT2
rich	hell
eternal	time
sleepy	hell
important	food
sure	hell
happy	hell
happy	hell
cool	heck
clear	day
old	time
good	equity
hot	hell
funny	hell
creepy	heck
mad	hell
scary	hell
tough	hell
sixth	part
scarce	truth
close	bark
gory	hell
sure	heck
sick	hell
nice	hell
tight	level
sure	hell
mad	hell
weak	hell
american	apple
clear	day
old	dust
scary	hell
clear	daylight
clear	day
natural	breathing
fine	hell
good	factory
powerful	real-world
happy	bit
first	pilot-in-command
old	time
funny	hell
right	rain
good	gold
english	cucumber
mundane	banana
clear	sun
weird	hell
healthy	beef
clear	day
nervous	hell
tough	hell
easy	pie
inevitable	death
cool	hell
big	time
fine	frog
smooth	buttah
plain	day
unpalatable	beef
funny	hell
glowy	hell
sad	fuck
happy	hell
american	apple
mad	hell
majestic	heck
intimidating	hell
plentiful	food
old	mankind
clear	day
chic	hell
good	gold
good	hell
crazy	hell
immersive	hell
tricky	hell
cool	hell
hard	fuck
sour	dredge
villainous	vengeance
lazy	fuck
transgressive	hell
mad	hell
black	night
sexy	fuck
old	speculation
nasty	hell
mad	hell
smooth	silk
dangerous	hell
difficult	hell
hot	hell
dark	tea
heavy	hell
common	dirt
old	time
fake	fuck
cold	ice
comical	heck
sure	hell
old	time
colorless	marble
ready	hell
sure	shit
clear	day
old	communication
out-dated	steam
painful	hell
black	night
creepy	hell
clear	day
hungry	hell
good	gold
smooth	silk
cool	hell
cool	hell
lonely	fuck
good	time
taut	razor-wire
clear	day
important	death
catchy	hell
catchy	hell
alluring	day
mad	hell
clear	mud
vague	hell
sweet	sugar
beachy	fuck
cheap	dirt
hot	asphalt in july
fragile	cut glass
funny	hell
mad	hell
white	snow
handy	hell
hot	hell
plain	day
cool	heck
good	wine
impersonal	gravity
sure	hell
funky	hell
american	baseball, hot dogs, and apple pie
clear	mud
clear	mud
hot	fuck
old	man
old	celebrity
sweet and light	cotton candy on anak ko
placid	livestock
mad	hell
cheap	hell
true	mud
funny	fuck
sexy	gun
heavy	hell
skinny	hell center
friendly	heck
flexible	fuck
giddy	fuck
old	history
infectious	venom
mad	heck
top	top of the mountain
slippery	eel
crisp	reality
american	apple pie
nervous	hell
slick	ice
sure	hell
fake	hell
sick	hell
smooth	silk
old	time
pushy	hell
old	slavery and jim crow
american	apple pie
old	time
hot	hell
old	time
chic	hell
funny	heck
big	hell
big	hell
clear	mud
expensive	hell
goofy	hell
mad	hell
cool	hell
sad	heck
dull	dishwasher in sponge-pink
clear	day
hard	sap from a frozen maple tree.
happy	hell
noisy	hell
old	civilization
skimpy	hell
old	hell
catchy	hell
soft	silk
stiff	hell
real	day and night
nervous	hell
real	hell
hot	hell
square	fuck
white	wool
gorgeous	heck
tough	hell
healthy	pita
nervous	hell
slow	hell
loud	fuck
clear	day
proud	punch
simple	mind over matters
grave	war and peace
common	muck
angry	hell
tight	hell
grumpy	hell
first	festival
thick	mince meat
thick	mince meat
thick	mince meat
old	imagination
dull and incomprehensible	cricket
thick	mince
light	air
white	chalk
cute	hell
worthless	history
worthless	history
double	crime
close	family
funny	hell
mad	hell
cold	ice
proud	hell
thick	mince
lazy	a toad
vain	narcissus
thick	fuck
clear	day
hot	hell
greedy	fuck
competitive	hell
drunk	skunks
stark	white
clever	hell
clear	day
smooth	silk
clear	day
sure	fuck
cold	ice
seductive	fuck
entertaining	hell
good	sex
good	sex
good	sex
old	humanity
certain	death and taxes
plain	day
short	grass
good	hell
good	gold
sure	hell
happy	hell
certain	daylight
clear	day
clear	day
available	dust
old	time
clear	mud
funny	hell
sure	night follows day
plain	abc
old	mankind
natural	breathing
bad	death
clear	daylight
dead	bacon
valuable	gold
glorious	rain
hot	hell
unwieldy	fuck
useful	tits
proud	hell
good	satanism
slow	hell
cute	hell
sure	hell
relentless	time
guilty	hell
mad	hell
useless	police cats
flat	pancake
proud	punch
sure	rain
petty	hell
funny	hell
creepy	hell
scary	murder
sure	time
witty	hell
complex	hell
absurd	astrology
nervous	hell
sad	hell
american	apple pie
essential	toilet paper
nervous	hell
clean	morning mist
smooth	butter
good	sex
good	sex
clear	crystal
good	sex
smooth	silk
passionate	hell
diverse	cancer
available	part
ropey	ship rigging
cocky	hell
hot	hell
good	gold
