WORD_SLOT1	WORD_SLOT2
белый	бумага
чистый	слеза
чистый	стеклышко
голый	сокол
старый	мир
алый	кровь
бледный	полотно
страшный	медуза
страшный	медуза
необходимый	воздух
простой	праздник
гибкий	тростник
довольный	слон
нежный	цветочек
довольный	слон
чистый	слеза
чистый	слеза
необходимый	воздух
черный	смоль
коварный	волк
легкий	пушинка
старый	мир
старый	мир
старый	мир
белый	мука
старый	мир
необходимый	воздух
сильный	бык
извилистый	каракуль
старый	мир
тупой	валенок
довольный	слон
белый	снег
белый	снег
свободный	птица
свободный	птица
свободный	птица
свободный	птица
свободный	птица
свободный	птица
изменчивый	черт
недостижимый	солнце
довольный	слон
старый	мир
липкий	карамель
разукрашенный	кукла
деятельный	пчела
неуклюжый	слон
довoльный	слон
гладкий	кость
старый	мир
старый	мир
простой	сноуборд
сухой	солома
раздутый	вата
необходимый	воздух
живучий	кошка
гладкий	зеркало
бледный	смерть
счастливый	суслик
белый	снег
белый	снег
вольный	птица
вольный	птица
твердый	скала
черный	смоль
довольный	слон
старый	мир
многогранный	бриллиант
черный	смоль
нужный	воздух
древний	мир
выжатый	лимон
жесткий	подметка
спокойный	удав
наглый	танк
сладкий	пастила
довольный	удав
прозрачный	хрусталь
старый	мир
чистый	хрусталь
старый	мир
твердый	сталь
грубый	доска
довольный	слон
старый	сноуборд
яркий	букет
старый	мир
красный	рак
мокрый	мышь
тягучий	смола
мудрый	мать-земля
твердый	камень
старый	мир
одинокий	король
необходимый	вода
страшный	чудо-юдо
тягучий	жвачка
старый	мир
довольный	слон
белый	свет
черный	уголь
красный	кровь
древний	мир
бодрый	огурчик
прямой	стрела
старый	мир
легкий	перышко
гибкий	лоза
необходимый	воздух
довольный	слон
шершавый	наждачка
плоский	лист
старый	мир
выжатый	лимон
тонкий	бумага
старый	мир
ласковый	котенок
древний	мир
старый	мир
тупой	стол
тонкий	тростинка
необходимый	воздух
блудливый	кот
трусливый	заяц
блудливый	кот
трусливый	заяц
наглый	обезьяна
старый	мир
довольный	слон
старый	мир
нужный	воздух
сухой	стеклышко
чистый	младенец
голубой	небо
зеленый	листва
прозрачный	стекло
холодный	лед
красивый	бог
тонкий	бумага
мягкий	пух
твердый	кость
холодный	сталь
глубокий	небо
довольный	слон
звонкий	лед
суетлив	муравейник
крепкий	хвост у моржа
старый	мир
довольный	слон
необходимый	воздух
довольный	слон
веселый	бабка с семечками
суетлив	муравейник
красивый	кукла
довольный	слон
старый	мир
старый	мир
довольный	кот
черный	нефть
мудрый	друид
старый	мир
надежный	скала
выжатый	лимон
нужный	воздух
необходимый	воздух
инфантильный	ребенок
бледный	смерть
яркий	солнышко
красный	рак
белый	мел
слепой	щенок
тупой	дятел
твердый	камень
зеленый	лоза
длинный	жердь
старый	мир
прозрачный	слеза
необходимый	воздух
текучий	вода
старый	мир
нужный	воздух
жидкий	вода
натянутый	струна
пустой	ведро
стройный	газель
быстрый	ветер
холодный	лед
яркий	солнце
бездонный	океан
белый	снег
загадочный	ночь
страшный	смерть
драный	хвост у твоей собаки
старый	мир
старый	мир
старый	мир
благодушный	слон
белый	снег
белый	мел
смелый	лев
черный	смоль
нужный	воздух
горький	коньяк
пенистый	шампанское
сладкий	персик
сладкий	персик
пенистый	шампанское
горький	коньяк
