words1	words2	freq.w1	freq.w2	obs.w1_2.in_c	exp.w1_2.in_c	relation	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
clear	day	73	62	48	5.01	attraction	0.6407	0.7445	47.599
old	time	72	33	27	2.63	attraction	0.3678	0.7665	26.0253
smooth	silk	21	15	14	0.35	attraction	0.6655	0.9255	24.1636
easy	pie	12	15	11	0.2	attraction	0.9122	0.7322	20.6776
american	apple pie	18	11	10	0.22	attraction	0.5544	0.9001	17.3013
good	gold	29	16	12	0.51	attraction	0.4092	0.7309	15.8175
cold	ice	10	12	8	0.13	attraction	0.7955	0.6644	14.686
white	snow	11	8	7	0.1	attraction	0.6352	0.8705	13.5607
clear	hell	73	328	1	26.49	repulsion	-0.3798	-0.122	13.3762
old	hell	72	328	1	26.12	repulsion	-0.3791	-0.1202	13.1652
right	rain	5	7	5	0.04	attraction	0.9978	0.7143	11.3746
clear	mud	73	10	9	0.81	attraction	0.1221	0.8284	9.0702
plain	day	9	62	8	0.62	attraction	0.8286	0.1278	8.5709
mad	hell	25	328	23	9.07	attraction	0.573	0.0666	8.2202
black	night	6	6	4	0.04	attraction	0.6644	0.6644	8.0909
good	sex	29	5	5	0.16	attraction	0.1724	0.9733	7.6222
thick	mince	13	4	4	0.06	attraction	0.3077	0.99	7.5873
natural	breathing	3	5	3	0.02	attraction	0.9978	0.6	7.0889
light	air	4	5	3	0.02	attraction	0.7478	0.5989	6.4876
proud	punch	8	3	3	0.03	attraction	0.375	0.9945	6.3407
sweet	sugar	9	3	3	0.03	attraction	0.3333	0.9933	6.1646
thick	mince meat	13	3	3	0.04	attraction	0.2308	0.9889	5.6325
vain	narcissus	2	2	2	0	attraction	1	1	5.6108
funny	hell	23	328	19	8.35	attraction	0.4753	0.051	5.2663
regular	clockwork	2	3	2	0.01	attraction	0.9989	0.6667	5.1337
cute	heck	10	32	5	0.35	attraction	0.4698	0.1505	5.0465
worthless	history	2	4	2	0.01	attraction	0.9978	0.5	4.8327
different	night and day	4	2	2	0.01	attraction	0.5	0.9978	4.8327
lazy	toad	4	2	2	0.01	attraction	0.5	0.9978	4.8327
weak	piss	4	2	2	0.01	attraction	0.5	0.9978	4.8327
