words1	words2	freq.w1	freq.w2	obs.w1_2.in_c	exp.w1_2.in_c	relation	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
старый	мир	346	391	340	52.31	attraction	0.9599	0.8668	Inf
довольный	слон	166	172	148	11.04	attraction	0.8816	0.853	192.0064
необходимый	воздух	84	164	77	5.33	attraction	0.8819	0.4666	91.533
нужный	воздух	79	164	74	5.01	attraction	0.9008	0.4492	89.457
черный	смоль	106	61	58	2.5	attraction	0.546	0.9318	84.1558
белый	снег	99	59	56	2.26	attraction	0.5645	0.9321	83.1678
выжатый	лимон	25	25	25	0.24	attraction	1	1	60.0745
холодный	лед	46	42	34	0.75	attraction	0.736	0.8048	58.8184
острый	бритва	41	25	23	0.4	attraction	0.5602	0.913	42.2585
твердый	камень	74	48	32	1.37	attraction	0.4261	0.6501	40.5075
здоровый	бык	38	30	23	0.44	attraction	0.6025	0.7608	39.5542
чистый	слеза	61	54	31	1.27	attraction	0.4991	0.5622	39.5102
живой	жизнь	18	25	16	0.17	attraction	0.8854	0.6392	32.7692
красный	рак	34	19	17	0.25	attraction	0.4992	0.8881	31.8452
прямой	стрела	33	22	17	0.28	attraction	0.5132	0.7665	29.966
бледный	смерть	46	46	21	0.82	attraction	0.4467	0.4467	26.3403
легкий	перышко	35	15	14	0.2	attraction	0.3996	0.9252	26.2828
прозрачный	слеза	48	54	21	1	attraction	0.4245	0.3782	24.0022
злой	собака	28	17	13	0.18	attraction	0.4627	0.7589	23.6163
трезвый	стеклышко	16	21	12	0.13	attraction	0.7465	0.5699	23.5374
спокойный	удав	26	22	13	0.22	attraction	0.4965	0.5858	21.8614
прозрачный	стекло	48	29	16	0.54	attraction	0.3282	0.5392	21.1432
свободный	птица	21	16	11	0.13	attraction	0.5219	0.6836	20.7486
древний	мир	33	391	29	4.99	attraction	0.737	0.0723	19.8308
черный	уголь	106	13	13	0.53	attraction	0.1226	0.9639	18.355
естественный	дыхание	8	9	7	0.03	attraction	0.8742	0.7774	17.7233
быстрый	молния	24	11	9	0.1	attraction	0.3742	0.8124	17.2956
гладкий	шелк	32	26	12	0.32	attraction	0.3695	0.4537	16.9654
сильный	смерть	29	46	13	0.52	attraction	0.4354	0.2763	15.801
плоский	доска	19	11	8	0.08	attraction	0.4199	0.723	15.5999
тупой	пробка	13	10	7	0.05	attraction	0.5373	0.6977	14.8714
трусливый	заяц	5	6	5	0.01	attraction	0.9996	0.8333	14.2041
голодный	волк	9	9	6	0.03	attraction	0.6655	0.6655	13.7687
легкий	пушинка	35	10	8	0.14	attraction	0.2278	0.7895	13.674
